method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,DSpace@DSpace,79798752,rtptorrent,58,0,0.4110837438423645,0.0
RETECS,DSpace@DSpace,120697321,rtptorrent,57,0,0.3007017543859649,0.0
RETECS,DSpace@DSpace,13653787,rtptorrent,16,0,0.28125,0.0
RETECS,DSpace@DSpace,71797969,rtptorrent,61,0,0.594909404659189,0.0
RETECS,DSpace@DSpace,78022451,rtptorrent,58,0,0.3155172413793103,0.0
RETECS,DSpace@DSpace,40470440,rtptorrent,58,0,0.30172413793103453,0.0
RETECS,DSpace@DSpace,32417767,rtptorrent,53,0,0.23584905660377353,0.0
RETECS,DSpace@DSpace,77308707,rtptorrent,58,0,0.40763546798029554,0.0
RETECS,DSpace@DSpace,107754438,rtptorrent,37,0,0.05855855855855854,0.0
RETECS,DSpace@DSpace,83277761,rtptorrent,58,0,0.23275862068965517,0.0
RETECS,DSpace@DSpace,85570576,rtptorrent,56,0,0.9553571428571428,0.0
RETECS,DSpace@DSpace,80955717,rtptorrent,58,0,0.41600985221674874,0.0
RETECS,DSpace@DSpace,20736866,rtptorrent,53,0,0.46226415094339623,0.0
RETECS,DSpace@DSpace,78464922,rtptorrent,58,0,0.42142857142857143,0.0
RETECS,DSpace@DSpace,13217113,rtptorrent,16,0,0.34375,0.0
RETECS,DSpace@DSpace,81023190,rtptorrent,58,0,0.4120689655172414,0.0
RETECS,DSpace@DSpace,14945276,rtptorrent,53,0,0.19811320754716977,0.0
RETECS,DSpace@DSpace,76579177,rtptorrent,58,0,0.398768472906404,0.0
RETECS,DSpace@DSpace,83668737,rtptorrent,58,0,0.23275862068965517,0.0
RETECS,DSpace@DSpace,23544166,rtptorrent,53,0,0.44339622641509435,0.0
RETECS,DSpace@DSpace,92242103,rtptorrent,58,0,0.9913793103448275,0.0
RETECS,DSpace@DSpace,121674194,rtptorrent,61,0,0.28688524590163933,0.0
RETECS,DSpace@DSpace,79450192,rtptorrent,58,0,0.4110837438423645,0.0
RETECS,DSpace@DSpace,79826788,rtptorrent,58,0,0.4091133004926109,0.0
RETECS,DSpace@DSpace,38447051,rtptorrent,57,0,0.4649122807017544,0.0
RETECS,DSpace@DSpace,81365178,rtptorrent,58,0,0.38349753694581284,0.0
RETECS,DSpace@DSpace,62482135,rtptorrent,61,0,0.3524590163934427,0.0
RETECS,DSpace@DSpace,114760046,rtptorrent,57,0,0.33508771929824566,0.0
RETECS,DSpace@DSpace,95483961,rtptorrent,59,0,0.6694915254237288,0.0
RETECS,DSpace@DSpace,17707725,rtptorrent,16,0,0.28125,0.0
RETECS,DSpace@DSpace,62481806,rtptorrent,61,0,0.33606557377049184,0.0
RETECS,DSpace@DSpace,77304453,rtptorrent,58,0,0.4312807881773399,0.0
RETECS,DSpace@DSpace,77194918,rtptorrent,58,0,0.41699507389162566,0.0
